"","project","data_set","site","station","recording_date","recording_time","status","latitude","longitude","is_buffered_location","species_code","scientific_name","species_english_name","method","rain","wind","noise","industry_noise","audio_quality","species_individual_name","transcriber","abundance","confidence","min0_voc","min0_start","min1_voc","min1_start","min2_voc","min2_start","min3_voc","min3_start","min4_voc","min4_start","min5_voc","min5_start","min6_voc","min6_start","min7_voc","min7_start","min8_voc","min8_start","min9_voc","min9_start","comment","species_comment"
"18","Big Grids 2018","BG",15,2,"2018-07-10","5:05:00","Transcribed",55.330445,-111.155497,"f","WIWR","Troglodytes hiemalis","Winter Wren","3m 1SPM",0,1,0,0,"No audio quality issues","1","Christopher Moser-Purdy","ONE","Confident","Song",5.2,"Song","0.3","Song","0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"19","Big Grids 2018","BG",15,2,"2018-07-10","5:05:00","Transcribed",55.330445,-111.155497,"f","WWCR","Loxia leucoptera","White-winged Crossbill","3m 1SPM",0,1,0,0,"No audio quality issues","1","Christopher Moser-Purdy","ONE","Confident","Song",0.1,"Song","4.4","Song","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"20","Big Grids 2018","BG",15,3,"2018-07-01","4:56:00","Transcribed",55.330394,-111.145882,"f","LISP","Melospiza lincolnii","Lincoln's Sparrow","3m 1SPM",0,2,0,0,"No audio quality issues","1","Nicole Boucher","ONE","Confident","Song",41,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"21","Big Grids 2018","BG",15,3,"2018-07-01","4:56:00","Transcribed",55.330394,-111.145882,"f","MOWI"," ","Moderate wind","3m 1SPM",0,2,0,0,"No audio quality issues","1","Nicole Boucher","ONE","Confident","Song",0.1,"Song","0.1","Song","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"22","Big Grids 2018","BG",15,3,"2018-07-01","4:56:00","Transcribed",55.330394,-111.145882,"f","OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,2,0,0,"No audio quality issues","1","Nicole Boucher","ONE","Confident","Song",18.4,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"23","Big Grids 2018","BG",15,3,"2018-07-01","4:56:00","Transcribed",55.330394,-111.145882,"f","RCKI","Regulus calendula","Ruby-crowned Kinglet","3m 1SPM",0,2,0,0,"No audio quality issues","1","Nicole Boucher","ONE","Confident","Call",20.1,"Call","0.2","Call","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"24","Big Grids 2018","BG",15,3,"2018-07-01","4:56:00","Transcribed",55.330394,-111.145882,"f","SWTH","Catharus ustulatus","Swainson's Thrush","3m 1SPM",0,2,0,0,"No audio quality issues","1","Nicole Boucher","ONE","Confident","Song",1.5,"Song","3.6","Call","52.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"25","Big Grids 2018","BG",15,3,"2018-07-01","4:56:00","Transcribed",55.330394,-111.145882,"f","UNTR"," ","Unknown Trill","3m 1SPM",0,2,0,0,"No audio quality issues","1","Nicole Boucher","ONE","Unknown far","",NA,"","","Song","10.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"26","Big Grids 2018","BG",15,3,"2018-07-01","4:56:00","Transcribed",55.330394,-111.145882,"f","WIWR","Troglodytes hiemalis","Winter Wren","3m 1SPM",0,2,0,0,"No audio quality issues","1","Nicole Boucher","ONE","Confident","Song",0.1,"Song","4.7","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"27","Big Grids 2018","BG",15,3,"2018-07-01","4:56:00","Transcribed",55.330394,-111.145882,"f","WTSP","Zonotrichia albicollis","White-throated Sparrow","3m 1SPM",0,2,0,0,"No audio quality issues","1","Nicole Boucher","ONE","Confident","Song",7,"Song","19","Song","8.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"28","Big Grids 2018","BG",15,3,"2018-07-01","4:56:00","Transcribed",55.330394,-111.145882,"f","WWCR","Loxia leucoptera","White-winged Crossbill","3m 1SPM",0,2,0,0,"No audio quality issues","1","Nicole Boucher","ONE","Confident","Song",11.5,"Song","0.7","Song","6.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"29","Big Grids 2018","BG",15,3,"2018-07-02","4:57:00","Transcribed",55.330394,-111.145882,"f","BRCR","Certhia americana","Brown Creeper","3m 1SPM",0,0,0,0,"No audio quality issues","1","Laurel McDonald","ONE","Confident","Song",0.5,"Song","22.6","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"30","Big Grids 2018","BG",15,3,"2018-07-02","4:57:00","Transcribed",55.330394,-111.145882,"f","OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,0,0,0,"No audio quality issues","1","Laurel McDonald","ONE","Confident","Song",23.5,"Song","13.2","Song","9.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"31","Big Grids 2018","BG",15,3,"2018-07-02","4:57:00","Transcribed",55.330394,-111.145882,"f","PISI","Spinus pinus","Pine Siskin","3m 1SPM",0,0,0,0,"No audio quality issues","1","Laurel McDonald","ONE","Confident","",NA,"Call","15.7","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"32","Big Grids 2018","BG",15,3,"2018-07-02","4:57:00","Transcribed",55.330394,-111.145882,"f","RESQ","Tamiasciurus hudsonicus","Red Squirrel","3m 1SPM",0,0,0,0,"No audio quality issues","1","Laurel McDonald","ONE","Confident","",NA,"Call","1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"33","Big Grids 2018","BG",15,3,"2018-07-02","4:57:00","Transcribed",55.330394,-111.145882,"f","SWTH","Catharus ustulatus","Swainson's Thrush","3m 1SPM",0,0,0,0,"No audio quality issues","1","Laurel McDonald","ONE","Confident","",NA,"Song","27.6","Song","1.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"34","Big Grids 2018","BG",15,3,"2018-07-02","4:57:00","Transcribed",55.330394,-111.145882,"f","UNTR"," ","Unknown Trill","3m 1SPM",0,0,0,0,"No audio quality issues","1","Laurel McDonald","ONE","Unknown far","",NA,"Song","58.4","Song","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Almost sounds like BEKI"
"35","Big Grids 2018","BG",15,3,"2018-07-02","4:57:00","Transcribed",55.330394,-111.145882,"f","WIWR","Troglodytes hiemalis","Winter Wren","3m 1SPM",0,0,0,0,"No audio quality issues","1","Laurel McDonald","ONE","Confident","Song",11.3,"Song","5.8","Song","5.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"36","Big Grids 2018","BG",15,3,"2018-07-04","4:58:00","Transcribed",55.330394,-111.145882,"f","BRCR","Certhia americana","Brown Creeper","3m 1SPM",1,1,0,1,"No audio quality issues","1","Tyne Baker","ONE","Confident","S-C",7.2,"S-C","2.2","S-C","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"37","Big Grids 2018","BG",15,3,"2018-07-04","4:58:00","Transcribed",55.330394,-111.145882,"f","GCKI","Regulus satrapa","Golden-crowned Kinglet","3m 1SPM",1,1,0,1,"No audio quality issues","1","Tyne Baker","ONE","Confident","S-C",10.4,"S-C","0","S-C","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"38","Big Grids 2018","BG",15,3,"2018-07-04","4:58:00","Transcribed",55.330394,-111.145882,"f","LINO"," ","Light continuous industrial noise","3m 1SPM",1,1,0,1,"No audio quality issues","1","Tyne Baker","ONE","Confident","Non-vocal",0,"Non-vocal","0.2","Non-vocal","0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","distant rumble"
"39","Big Grids 2018","BG",15,3,"2018-07-04","4:58:00","Transcribed",55.330394,-111.145882,"f","LIRA"," ","Light rain","3m 1SPM",1,1,0,1,"No audio quality issues","1","Tyne Baker","ONE","Confident","Non-vocal",0.6,"Non-vocal","0.2","Non-vocal","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"40","Big Grids 2018","BG",15,3,"2018-07-04","4:58:00","Transcribed",55.330394,-111.145882,"f","LIWI"," ","Light wind","3m 1SPM",1,1,0,1,"No audio quality issues","1","Tyne Baker","ONE","Confident","Song",0.1,"Song","0.1","Song","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"41","Big Grids 2018","BG",15,3,"2018-07-04","4:58:00","Transcribed",55.330394,-111.145882,"f","OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",1,1,0,1,"No audio quality issues","1","Tyne Baker","ONE","Confident","Song",53.8,"Song","51.2","Song","7.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"42","Big Grids 2018","BG",15,3,"2018-07-04","4:58:00","Transcribed",55.330394,-111.145882,"f","RBNU","Sitta canadensis","Red-breasted Nuthatch","3m 1SPM",1,1,0,1,"No audio quality issues","1","Tyne Baker","ONE","Confident","Song",52.2,"Song","3.4","Song","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"43","Big Grids 2018","BG",15,3,"2018-07-04","4:58:00","Transcribed",55.330394,-111.145882,"f","SWTH","Catharus ustulatus","Swainson's Thrush","3m 1SPM",1,1,0,1,"No audio quality issues","1","Tyne Baker","TMTC","Confident","Song",5.5,"Song","4.8","Song","2.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","AE:2-3, some overlap"
"44","Big Grids 2018","BG",15,3,"2018-07-04","4:58:00","Transcribed",55.330394,-111.145882,"f","WTSP","Zonotrichia albicollis","White-throated Sparrow","3m 1SPM",1,1,0,1,"No audio quality issues","1","Tyne Baker","ONE","Confident","Song",22.9,"Song","8.2","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"45","Big Grids 2018","BG",15,3,"2018-07-04","4:58:00","Transcribed",55.330394,-111.145882,"f","YBSA","Sphyrapicus varius","Yellow-bellied Sapsucker","3m 1SPM",1,1,0,1,"No audio quality issues","1","Tyne Baker","ONE","Confident","",NA,"Call","39.2","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"46","Big Grids 2018","BG",15,3,"2018-07-10","5:05:00","Transcribed",55.330394,-111.145882,"f","MOWI"," ","Moderate wind","3m 1SPM",0,2,0,0,"No audio quality issues","1","Laurel McDonald","ONE","Confident","Song",0,"Song","0","Song","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"47","Big Grids 2018","BG",15,4,"2018-06-30","4:55:00","Transcribed",55.330476,-111.136614,"f","LITR"," ","Light traffic","3m 1SPM",0,0,0,0,"No audio quality issues","1","Christopher Moser-Purdy","ONE","Confident","Song",35.1,"Song","0.1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"48","Big Grids 2018","BG",15,4,"2018-06-30","4:55:00","Transcribed",55.330476,-111.136614,"f","RBNU","Sitta canadensis","Red-breasted Nuthatch","3m 1SPM",0,0,0,0,"No audio quality issues","1","Christopher Moser-Purdy","ONE","Confident","Song",37.6,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"49","Big Grids 2018","BG",15,4,"2018-06-30","4:55:00","Transcribed",55.330476,-111.136614,"f","SWTH","Catharus ustulatus","Swainson's Thrush","3m 1SPM",0,0,0,0,"No audio quality issues","1","Christopher Moser-Purdy","ONE","Confident","Song",6.4,"Song","1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"50","Big Grids 2018","BG",15,4,"2018-06-30","4:55:00","Transcribed",55.330476,-111.136614,"f","UNKN"," ","Unknown","3m 1SPM",0,0,0,0,"No audio quality issues","1","Christopher Moser-Purdy","ONE","To Be Checked","",NA,"","","Call","41.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Peep"
"51","Big Grids 2018","BG",15,4,"2018-06-30","4:55:00","Transcribed",55.330476,-111.136614,"f","WIWR","Troglodytes hiemalis","Winter Wren","3m 1SPM",0,0,0,0,"No audio quality issues","1","Christopher Moser-Purdy","ONE","Confident","Song",0.4,"Song","5","Song","0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"52","Big Grids 2018","BG",15,4,"2018-06-30","4:55:00","Transcribed",55.330476,-111.136614,"f","WTSP","Zonotrichia albicollis","White-throated Sparrow","3m 1SPM",0,0,0,0,"No audio quality issues","1","Christopher Moser-Purdy","ONE","Confident","",NA,"Song","30.6","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"53","Big Grids 2018","BG",15,4,"2018-06-30","4:55:00","Transcribed",55.330476,-111.136614,"f","WWCR","Loxia leucoptera","White-winged Crossbill","3m 1SPM",0,0,0,0,"No audio quality issues","1","Christopher Moser-Purdy","ONE","Confident","S-C",0.2,"S-C","7.6","Song","10.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"54","Big Grids 2018","BG",15,4,"2018-06-30","4:55:00","Transcribed",55.330476,-111.136614,"f","WWCR","Loxia leucoptera","White-winged Crossbill","3m 1SPM",0,0,0,0,"No audio quality issues","2","Christopher Moser-Purdy","ONE","Confident","Song",1.8,"Song","0","Song","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"55","Big Grids 2018","BG",15,4,"2018-07-01","4:56:00","Transcribed",55.330476,-111.136614,"f","DEJU","Junco hyemalis","Dark-eyed Junco","3m 1SPM",0,1,0,0,"No audio quality issues","1","Jillian Slater","ONE","Confident","Song",0.1,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"56","Big Grids 2018","BG",15,4,"2018-07-01","4:56:00","Transcribed",55.330476,-111.136614,"f","GCKI","Regulus satrapa","Golden-crowned Kinglet","3m 1SPM",0,1,0,0,"No audio quality issues","1","Jillian Slater","ONE","Confident","",NA,"","","Song","17.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"57","Big Grids 2018","BG",15,4,"2018-07-01","4:56:00","Transcribed",55.330476,-111.136614,"f","LIWI"," ","Light wind","3m 1SPM",0,1,0,0,"No audio quality issues","1","Jillian Slater","ONE","Confident","Song",0.1,"Song","0.1","Song","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"58","Big Grids 2018","BG",15,4,"2018-07-01","4:56:00","Transcribed",55.330476,-111.136614,"f","RBNU","Sitta canadensis","Red-breasted Nuthatch","3m 1SPM",0,1,0,0,"No audio quality issues","1","Jillian Slater","ONE","Confident","",NA,"","","Call","26.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"59","Big Grids 2018","BG",15,4,"2018-07-01","4:56:00","Transcribed",55.330476,-111.136614,"f","UNSP"," ","Unknown Sparrow","3m 1SPM",0,1,0,0,"No audio quality issues","1","Jillian Slater","ONE","Unknown far","Song",11.9,"Song","14","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","WCSP maybe?"
"60","Big Grids 2018","BG",15,4,"2018-07-01","4:56:00","Transcribed",55.330476,-111.136614,"f","UNWO"," ","Unknown Woodpecker","3m 1SPM",0,1,0,0,"No audio quality issues","1","Jillian Slater","ONE","Confident","Non-vocal",0.4,"Non-vocal","25.3","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"61","Big Grids 2018","BG",15,4,"2018-07-01","4:56:00","Transcribed",55.330476,-111.136614,"f","WIWR","Troglodytes hiemalis","Winter Wren","3m 1SPM",0,1,0,0,"No audio quality issues","1","Jillian Slater","ONE","Confident","Song",6.8,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"62","Big Grids 2018","BG",15,4,"2018-07-01","4:56:00","Transcribed",55.330476,-111.136614,"f","WWCR","Loxia leucoptera","White-winged Crossbill","3m 1SPM",0,1,0,0,"No audio quality issues","1","Jillian Slater","ONE","Confident","Song",3,"Song","1.8","Song","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"63","Big Grids 2018","BG",15,4,"2018-07-05","4:59:00","Transcribed",55.330476,-111.136614,"f","BCCH","Poecile atricapillus","Black-capped Chickadee","3m 1SPM",0,0,0,0,"No audio quality issues","1","Christopher Wagner","ONE","Confident","",NA,"Call","2.1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"64","Big Grids 2018","BG",15,4,"2018-07-05","4:59:00","Transcribed",55.330476,-111.136614,"f","CHSP","Spizella passerina","Chipping Sparrow","3m 1SPM",0,0,0,0,"No audio quality issues","1","Christopher Wagner","ONE","Confident","",NA,"Song","59.5","Song","8.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"65","Big Grids 2018","BG",15,4,"2018-07-05","4:59:00","Transcribed",55.330476,-111.136614,"f","DEJU","Junco hyemalis","Dark-eyed Junco","3m 1SPM",0,0,0,0,"No audio quality issues","1","Christopher Wagner","ONE","Confident","Song",0.5,"Song","3.4","Song","8.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"66","Big Grids 2018","BG",15,4,"2018-07-05","4:59:00","Transcribed",55.330476,-111.136614,"f","DEJU","Junco hyemalis","Dark-eyed Junco","3m 1SPM",0,0,0,0,"No audio quality issues","2","Christopher Wagner","ONE","Confident","",NA,"Song","21.6","Song","3.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"67","Big Grids 2018","BG",15,4,"2018-07-05","4:59:00","Transcribed",55.330476,-111.136614,"f","LIBA"," ","Light Background Noise","3m 1SPM",0,0,0,0,"No audio quality issues","1","Christopher Wagner","ONE","Confident","",NA,"Song","2","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"68","Big Grids 2018","BG",15,4,"2018-07-05","4:59:00","Transcribed",55.330476,-111.136614,"f","RBNU","Sitta canadensis","Red-breasted Nuthatch","3m 1SPM",0,0,0,0,"No audio quality issues","1","Christopher Wagner","ONE","Confident","",NA,"Song","48.2","Song","22.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"69","Big Grids 2018","BG",15,4,"2018-07-05","4:59:00","Transcribed",55.330476,-111.136614,"f","RESQ","Tamiasciurus hudsonicus","Red Squirrel","3m 1SPM",0,0,0,0,"No audio quality issues","1","Christopher Wagner","ONE","Confident","",NA,"","","Call","34.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"70","Big Grids 2018","BG",15,4,"2018-07-05","4:59:00","Transcribed",55.330476,-111.136614,"f","REVI","Vireo olivaceus","Red-eyed Vireo","3m 1SPM",0,0,0,0,"No audio quality issues","1","Christopher Wagner","ONE","Confident","Song",8.3,"Song","0","Song","1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"71","Big Grids 2018","BG",15,4,"2018-07-05","4:59:00","Transcribed",55.330476,-111.136614,"f","UNTR"," ","Unknown Trill","3m 1SPM",0,0,0,0,"No audio quality issues","1","Christopher Wagner","ONE","Unknown far","Song",0,"Song","4.6","Song","17.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"72","Big Grids 2018","BG",15,4,"2018-07-05","4:59:00","Transcribed",55.330476,-111.136614,"f","UNTR"," ","Unknown Trill","3m 1SPM",0,0,0,0,"No audio quality issues","2","Christopher Wagner","ONE","Unknown far","Song",8.7,"Song","27.9","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
