,X,ALFL,AMBI,AMCO,AMCR,AMGO,AMKE,AMRE,AMRO,AMWI,ATSP,ATTW,BADO,BANS,BAOR,BARS,BAWA,BAWW,BBCU,BBMA,BBWA,BBWO,BCCH,BCFR,BEAV,BEKI,BHCO,BHVI,BLBW,BLJA,BLPW,BLTE,BOCH,BOGU,BOOW,BOWA,BRBL,BRCR,BTNW,BWHA,BWTE,BWWA,CAGU,CANG,CATO,CAWA,CCLO,CCSP,CEDW,CHSP,CMWA,COGR,COLO,CONI,CONW,CORA,CORE,COWW,COYE,COYT,CRCH,CSWA,DEJU,DOGG,DOWO,DUGR,EAKI,EAPH,EUST,EVGR,FOSP,FOTE,FRGU,GADW,GBHE,GCKI,GCTH,GGOW,GHOW,GRAJ,GRCA,GRYE,GWFG,GWTE,HASP,HAWO,HEAI,HEBA,HEDT,HENO,HERA,HETH,HETR,HEWI,HOAR,HOSP,HOWR,KILL,LALO,LBCU,LCSP,LECH,LEFL,LESC,LEYE,LIAI,LIBA,LIDT,LINO,LIRA,LISP,LITN,LITR,LIWI,MALL,MAWA,MAWR,MEGU,MERL,MGWA,MOAI,MOBA,MOBL,MODO,MODT,MONO,MORA,MOTN,MOTR,MOWA,MOWI,MYWA,NAWA,NESP,NOBO,NOFL,NOGO,NONE,NOPO,NOWA,NRWS,NSWO,OCWA,OSFL,OSPR,OVEN,PAWA,PBGR,PHVI,PISI,PIWO,PSFL,PUFI,RBGR,RBGU,RBNU,RCKI,RECR,REDH,RESQ,REVI,RNGR,RNSA,RTHA,RUBL,RUGR,RWBL,SACR,SAVS,SBDO,SEWR,SORA,SOSA,SOSP,SPSA,SPTO,STGR,SWSP,SWTH,TEWA,TOSO,TRES,UNAM,UNBL,UNBT,UNCR,UNCV,UNDU,UNFI,UNFL,UNFR,UNGU,UNKN,UNMA,UNOW,UNPA,UNQK,UNSH,UNSP,UNSW,UNTE,UNTH,UNTRLL,UNVI,UNWA,UNWO,UNYE,VESP,VIRA,WAVI,WBBE,WBNU,WCSP,WETA,WETO,WEWP,WILL,WISN,WIWA,WIWR,WOFR,WOLF,WTDE,WTSP,WWCR,YBFL,YBSA,YEWA,YHBL,YRWA,YWAR,StationKey,Year,Round,RECORDING_DATE,RECORD_TIME,Replicate,Observer,Rain,Wind,Industry,Noise,Latitude,Longitude,EASTING,NORTHING,VISIT,DateTime,DTPosixct,lubridated,Day,Month,Hour,Minute,Second,Site
617,BG-0001-129_2014_1_06-Jun-14_5:00:00 AM_1_1_0_0_2_0_56.31876066_-110.9744719_501579_6241558,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,BG-0001-129,2014,1,06-Jun-14,5:00:00 AM,1,1,0,0,2,0,56.31876066,-110.9744719,501579,6241558,BG-0001-129_1_06-Jun-14_5:00:00 AM,2014-06-06 5:00,NA,2014-06-06 5:00,6,6,5,0,0,BG-0001
618,BG-0001-129_2014_1_06-Jun-14_5:00:00 AM_2_1_0_0_3_0_56.31876066_-110.9744719_501579_6241558,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,BG-0001-129,2014,1,06-Jun-14,5:00:00 AM,2,1,0,0,3,0,56.31876066,-110.9744719,501579,6241558,BG-0001-129_1_06-Jun-14_5:00:00 AM,2014-06-06 5:00,NA,2014-06-06 5:00,6,6,5,0,0,BG-0001
619,BG-0001-130_2014_1_02-Jul-14_5:00:00 AM_1_1_0_0_2_0_56.31988812_-110.9577214_502615_6241684,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,BG-0001-130,2014,1,02-Jul-14,5:00:00 AM,1,1,0,0,2,0,56.31988812,-110.9577214,502615,6241684,BG-0001-130_1_02-Jul-14_5:00:00 AM,2014-07-02 5:00,NA,2014-07-02 5:00,2,7,5,0,0,BG-0001
620,BG-0001-130_2014_1_03-Jul-14_5:00:00 AM_1_7_0_0_0_0_56.31988812_-110.9577214_502615_6241684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,BG-0001-130,2014,1,03-Jul-14,5:00:00 AM,1,7,0,0,0,0,56.31988812,-110.9577214,502615,6241684,BG-0001-130_1_03-Jul-14_5:00:00 AM,2014-07-03 5:00,NA,2014-07-03 5:00,3,7,5,0,0,BG-0001
629,BG-0001-131_2014_1_14-Jun-14_5:00:00 AM_1_1_0_0_0_0_56.31989054_-110.9415699_503614_6241685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,BG-0001-131,2014,1,14-Jun-14,5:00:00 AM,1,1,0,0,0,0,56.31989054,-110.9415699,503614,6241685,BG-0001-131_1_14-Jun-14_5:00:00 AM,2014-06-14 5:00,NA,2014-06-14 5:00,14,6,5,0,0,BG-0001
630,BG-0001-131_2014_1_18-Jun-14_5:00:00 AM_1_1_0_0_2_0_56.31989054_-110.9415699_503614_6241685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BG-0001-131,2014,1,18-Jun-14,5:00:00 AM,1,1,0,0,2,0,56.31989054,-110.9415699,503614,6241685,BG-0001-131_1_18-Jun-14_5:00:00 AM,2014-06-18 5:00,NA,2014-06-18 5:00,18,6,5,0,0,BG-0001
633,BG-0001-132_2014_1_03-Jun-14_5:00:00 AM_1_7_0_0_0_0_56.31988186_-110.9254022_504614_6241685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,BG-0001-132,2014,1,03-Jun-14,5:00:00 AM,1,7,0,0,0,0,56.31988186,-110.9254022,504614,6241685,BG-0001-132_1_03-Jun-14_5:00:00 AM,2014-06-03 5:00,NA,2014-06-03 5:00,3,6,5,0,0,BG-0001
634,BG-0001-132_2014_1_03-Jun-14_5:00:00 AM_2_7_0_0_1_0_56.31988186_-110.9254022_504614_6241685,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,BG-0001-132,2014,1,03-Jun-14,5:00:00 AM,2,7,0,0,1,0,56.31988186,-110.9254022,504614,6241685,BG-0001-132_1_03-Jun-14_5:00:00 AM,2014-06-03 5:00,NA,2014-06-03 5:00,3,6,5,0,0,BG-0001
635,BG-0001-132_2014_1_04-Jun-14_5:00:00 AM_1_1_3_0_0_0_56.31988186_-110.9254022_504614_6241685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,BG-0001-132,2014,1,04-Jun-14,5:00:00 AM,1,1,3,0,0,0,56.31988186,-110.9254022,504614,6241685,BG-0001-132_1_04-Jun-14_5:00:00 AM,2014-06-04 5:00,NA,2014-06-04 5:00,4,6,5,0,0,BG-0001
638,BG-0001-132_2014_1_31-May-14_10:00:00 AM_1_1_0_0_2_0_56.31988186_-110.9254022_504614_6241685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,BG-0001-132,2014,1,31-May-14,10:00:00 AM,1,1,0,0,2,0,56.31988186,-110.9254022,504614,6241685,BG-0001-132_1_31-May-14_10:00:00 AM,2014-05-31 10:00,NA,2014-05-31 10:00,31,5,10,0,0,BG-0001
639,BG-0001-132_2014_1_31-May-14_10:00:00 AM_2_1_0_0_2_0_56.31988186_-110.9254022_504614_6241685,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,BG-0001-132,2014,1,31-May-14,10:00:00 AM,2,1,0,0,2,0,56.31988186,-110.9254022,504614,6241685,BG-0001-132_1_31-May-14_10:00:00 AM,2014-05-31 10:00,NA,2014-05-31 10:00,31,5,10,0,0,BG-0001
640,BG-0001-132_2014_1_31-May-14_5:00:00 AM_1_1_0_0_3_0_56.31988186_-110.9254022_504614_6241685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,BG-0001-132,2014,1,31-May-14,5:00:00 AM,1,1,0,0,3,0,56.31988186,-110.9254022,504614,6241685,BG-0001-132_1_31-May-14_5:00:00 AM,2014-05-31 5:00,NA,2014-05-31 5:00,31,5,5,0,0,BG-0001
641,BG-0001-133_2014_1_02-Jul-14_10:00:00 AM_1_7_0_0_0_0_56.319907_-110.9092183_505615_6241689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,BG-0001-133,2014,1,02-Jul-14,10:00:00 AM,1,7,0,0,0,0,56.319907,-110.9092183,505615,6241689,BG-0001-133_1_02-Jul-14_10:00:00 AM,2014-07-02 10:00,NA,2014-07-02 10:00,2,7,10,0,0,BG-0001
642,BG-0001-133_2014_1_02-Jul-14_10:00:00 AM_2_7_0_0_0_0_56.319907_-110.9092183_505615_6241689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,BG-0001-133,2014,1,02-Jul-14,10:00:00 AM,2,7,0,0,0,0,56.319907,-110.9092183,505615,6241689,BG-0001-133_1_02-Jul-14_10:00:00 AM,2014-07-02 10:00,NA,2014-07-02 10:00,2,7,10,0,0,BG-0001
643,BG-0001-133_2014_1_02-Jul-14_5:00:00 AM_1_1_0_0_1_0_56.319907_-110.9092183_505615_6241689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,BG-0001-133,2014,1,02-Jul-14,5:00:00 AM,1,1,0,0,1,0,56.319907,-110.9092183,505615,6241689,BG-0001-133_1_02-Jul-14_5:00:00 AM,2014-07-02 5:00,NA,2014-07-02 5:00,2,7,5,0,0,BG-0001
644,BG-0001-133_2014_1_02-Jul-14_5:00:00 AM_2_1_0_0_1_0_56.319907_-110.9092183_505615_6241689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,BG-0001-133,2014,1,02-Jul-14,5:00:00 AM,2,1,0,0,1,0,56.319907,-110.9092183,505615,6241689,BG-0001-133_1_02-Jul-14_5:00:00 AM,2014-07-02 5:00,NA,2014-07-02 5:00,2,7,5,0,0,BG-0001
649,BG-0001-134_2014_1_12-Jun-14_5:00:00 AM_1_1_0_0_1_0_56.32068499_-110.8933555_506596_6241777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,BG-0001-134,2014,1,12-Jun-14,5:00:00 AM,1,1,0,0,1,0,56.32068499,-110.8933555,506596,6241777,BG-0001-134_1_12-Jun-14_5:00:00 AM,2014-06-12 5:00,NA,2014-06-12 5:00,12,6,5,0,0,BG-0001
650,BG-0001-134_2014_1_20-Jun-14_5:00:00 AM_1_7_0_0_1_0_56.32068499_-110.8933555_506596_6241777,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,BG-0001-134,2014,1,20-Jun-14,5:00:00 AM,1,7,0,0,1,0,56.32068499,-110.8933555,506596,6241777,BG-0001-134_1_20-Jun-14_5:00:00 AM,2014-06-20 5:00,NA,2014-06-20 5:00,20,6,5,0,0,BG-0001
651,BG-0001-134_2014_1_21-Jun-14_10:00:00 AM_1_1_3_0_0_0_56.32068499_-110.8933555_506596_6241777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,BG-0001-134,2014,1,21-Jun-14,10:00:00 AM,1,1,3,0,0,0,56.32068499,-110.8933555,506596,6241777,BG-0001-134_1_21-Jun-14_10:00:00 AM,2014-06-21 10:00,NA,2014-06-21 10:00,21,6,10,0,0,BG-0001
